kode,nama,ranking,klaster,input,proses,output,outcome,total
023003,Sekolah Tinggi Ilmu Pertanian Surya Dharma,1691,5,0.728,1.199,0.000,0.000,0.445
033015,Sekolah Tinggi Ilmu Ekonomi Swadaya,1692,5,0.850,0.989,0.112,0.000,0.445
133022,STIKES Payung Negeri Aceh Darussalam,1693,5,0.000,1.594,0.000,0.150,0.444
043328,STIKES Bina Permata Medika,1694,5,0.000,1.774,0.000,0.000,0.444
093118,Sekolah Tinggi Ilmu Hukum Cokroaminoto,1695,5,0.210,1.600,0.000,0.000,0.442
033143,Sekolah Tinggi Manajemen Transportasi Malahayati,1696,5,0.000,1.767,0.000,0.000,0.442
093101,Sekolah Tinggi Teknik Baramuli,1697,5,0.251,1.357,0.184,0.017,0.441
083001,Sekolah Tinggi Ilmu Administrasi Denpasar,1698,5,1.200,0.800,0.000,0.000,0.440
103145,Sekolah Tinggi Manajemen Informatika dan Komputer Gici,1699,5,0.648,1.203,0.039,0.000,0.440
113097,Sekolah Tinggi Ilmu Kesehatan Intan Martapura,1700,5,0.527,1.167,0.078,0.075,0.439
033208,STIH Indonesia Jentera,1701,5,0.694,1.200,0.000,0.000,0.439
083085,STKIP Simbiosis,1702,5,0.714,1.183,0.000,0.000,0.439
103137,STIA Indragiri,1703,5,0.688,1.200,0.000,0.000,0.438
093050,Sekolah Tinggi Ilmu Ekonomi Yapman Majene,1704,5,0.640,1.178,0.057,0.000,0.437
123033,Sekolah Tinggi Ilmu Ekonomi Saumlaki,1705,5,0.577,1.200,0.072,0.000,0.433
093116,STMIK Parnaraya,1706,5,0.000,1.733,0.000,0.000,0.433
043348,STIKES Prima Indonesia,1707,5,0.710,1.036,0.121,0.004,0.433
143017,Sekolah Tinggi Ilmu Ekonomi Bukit Zaitun Sorong,1708,5,0.554,1.278,0.000,0.000,0.430
033006,Sekolah Tinggi Teknologi Jakarta,1709,5,0.000,1.719,0.000,0.000,0.430
043238,STMIK MIC Cikarang,1710,5,1.000,0.917,0.000,0.000,0.429
031066,Universitas Dian Nusantara,1711,5,1.146,0.800,0.000,0.000,0.429
103101,Sekolah Tinggi Ilmu Ekonomi Cakrawala,1712,5,0.769,1.100,0.000,0.000,0.429
011028,Universitas Islam Labuhan Batu,1713,5,0.066,1.661,0.000,0.000,0.429
043130,Sekolah Tinggi Ilmu Ekonomi Cipasung,1714,5,0.200,1.461,0.080,0.011,0.428
041058,Universitas Lintas Internasional Indonesia,1715,5,0.608,1.227,0.000,0.000,0.428
143032,Sekolah Tinggi Ilmu Manajemen Informatika & Teknik Komputer Agamua Wamena Papua,1716,5,0.645,1.197,0.000,0.000,0.428
043236,Sekolah Tinggi Ilmu Ekonomi Budi Pertiwi,1717,5,1.000,0.913,0.000,0.000,0.428
093168,STISIP Bina Generasi Polewali,1718,5,1.000,0.909,0.000,0.000,0.427
033084,Sekolah Tinggi Ilmu Ekonomi Widya Jayakarta,1719,5,2.133,0.000,0.000,0.000,0.427
082007,Institut Ilmu Kesehatan Medika Persada Bali,1720,5,0.006,1.506,0.195,0.000,0.426
083025,Sekolah Tinggi Ilmu Manajemen Kupang,1721,5,0.309,1.457,0.000,0.000,0.426
133053,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Aceh,1722,5,0.722,0.403,0.000,0.600,0.425
071100,Universitas PGRI Wiranegara,1723,5,1.586,0.400,0.016,0.004,0.422
063047,STMIK Himsya,1724,5,0.585,1.200,0.010,0.000,0.419
043187,Sekolah Tinggi Seni Musik Bandung,1725,5,0.826,1.010,0.000,0.000,0.418
043278,Sekolah Tinggi Ilmu Komputer Al-khairiyah,1726,5,1.000,0.861,0.010,0.000,0.418
043289,STKIP Banten,1727,5,1.000,0.866,0.002,0.000,0.417
033217,Sekolah Tinggi Ilmu Kesehatan RS Husada,1728,5,1.000,0.400,0.192,0.216,0.413
043082,Sekolah Tinggi Ilmu Ekonomi Penguji Sukabumi,1729,5,0.352,1.333,0.012,0.000,0.407
093085,Sekolah Tinggi Ilmu Ekonomi Pariwisata,1730,5,0.479,0.878,0.000,0.300,0.405
053043,STIKES AL-Islam Yogyakarta,1731,5,0.000,1.600,0.010,0.000,0.402
133013,Sekolah Tinggi Ilmu Manajemen Indonesia Meulaboh,1732,5,0.010,1.600,0.000,0.000,0.402
093109,Sekolah Tinggi Ilmu Pertanian Yapi Bone,1733,5,0.675,0.991,0.070,0.000,0.400
013069,Sekolah Tinggi Ilmu Hukum Graha Kirana,1734,5,0.000,1.600,0.001,0.000,0.400
113014,STMIK Samarinda,1735,5,0.500,1.200,0.000,0.000,0.400
143034,STIE Saint Theresa,1736,5,0.500,1.200,0.000,0.000,0.400
013119,Sekolah Tinggi Teknologi Sinar Husni,1737,5,0.486,1.200,0.010,0.000,0.400
113095,Sekolah Tinggi Ilmu Kesehatan Samarinda,1738,5,1.000,0.400,0.205,0.159,0.399
043059,Sekolah Tinggi Teknologi Bandung,1739,5,0.000,0.933,0.282,0.312,0.397
033107,Sekolah Tinggi Ilmu Ekonomi Tunas Nusantara,1740,5,1.538,0.358,0.000,0.000,0.397
023098,STIKES Pembina Palembang,1741,5,0.173,1.445,0.000,0.000,0.396
013151,STKIP Nias Selatan,1742,5,0.190,1.199,0.194,0.030,0.395
143026,STISIPOL Yaleka Maro,1743,5,0.795,0.942,0.000,0.000,0.395
033178,STMIK Jayabaya Jakarta,1744,5,0.679,1.034,0.000,0.000,0.394
073029,Sekolah Tinggi Ilmu Pertanian,1745,5,0.914,0.833,0.000,0.000,0.391
101032,Universitas Fort De Kock,1746,5,1.125,0.400,0.116,0.122,0.391
083031,Sekolah Tinggi Bahasa Asing Cakrawala Nusantara,1747,5,0.662,1.027,0.000,0.000,0.389
093202,STKIP Dampal Selatan,1748,5,0.491,1.158,0.000,0.000,0.388
103148,STIKES Awal Bros Pekanbaru,1749,5,0.373,1.217,0.030,0.000,0.386
013183,STIKES Sakinah Husada Tanjung Balai,1750,5,0.429,1.200,0.000,0.000,0.386
083082,STKIP Weetebula,1751,5,0.000,1.513,0.028,0.001,0.385
043224,STMIK Triguna Utama,1752,5,0.718,0.961,0.003,0.001,0.385
073180,STIKES Pamenang,1753,5,0.395,0.400,0.473,0.291,0.384
002011,Institut Seni Budaya Indonesia Aceh,1754,5,0.331,1.200,0.069,0.000,0.384
073148,STIKES Bahrul Ulum Jombang,1755,5,0.000,1.510,0.014,0.000,0.381
032018,Institut Kesehatan Indonesia,1756,5,0.000,1.502,0.022,0.000,0.381
103109,Sekolah Tinggi Ilmu Kesehatan Karimun,1757,5,0.362,1.234,0.000,0.000,0.381
093034,STKIP Yapti Jeneponto,1758,5,0.523,1.048,0.056,0.000,0.381
071092,Universitas Doktor Nugroho Magetan,1759,5,0.148,1.344,0.003,0.045,0.380
063107,Sekolah Tinggi Manajemen Informatika dan Komputer Komputama Majenang,1760,5,1.000,0.700,0.018,0.000,0.380
103138,STKIP Pesisir Selatan,1761,5,0.262,1.135,0.159,0.009,0.379
131009,Universitas Gunung Leuser Aceh,1762,5,0.057,1.359,0.105,0.000,0.377
023128,Sekolah Tinggi Ilmu Ekonomi Krakatau,1763,5,0.571,1.050,0.000,0.000,0.377
143031,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Biak,1764,5,1.000,0.397,0.130,0.147,0.376
113021,STIMI Samarinda,1765,5,0.375,1.200,0.001,0.000,0.375
023077,STIKES Tri Mandiri Sakti Bengkulu,1766,5,0.036,1.207,0.155,0.088,0.374
043135,Sekolah Tinggi Ilmu Ekonomi Muhammadiyah Bandung,1767,5,0.133,1.238,0.128,0.016,0.373
043111,STKIP Arrahmaniyah,1768,5,0.292,1.100,0.150,0.000,0.371
013064,Sekolah Tinggi Ilmu Ekonomi Tricom,1769,5,0.000,1.423,0.060,0.000,0.371
071078,Universitas Bakti Indonesia,1770,5,0.223,1.280,0.024,0.000,0.370
123022,Sekolah Tinggi Ilmu Administrasi Darul Rachman Tual,1771,5,0.350,1.200,0.000,0.000,0.370
093188,STKIP Mega Rezky,1772,5,0.000,1.461,0.010,0.000,0.368
023115,Sekolah Tinggi Ilmu Kesehatan Permata Nusantara,1773,5,0.000,1.465,0.000,0.000,0.366
043075,Sekolah Tinggi Ilmu Ekonomi Triguna,1774,5,0.330,1.200,0.000,0.000,0.366
013141,STIKES Putra Abadi Langkat,1775,5,0.327,1.200,0.000,0.000,0.365
023133,Sekolah Tinggi Manajemen Informatika dan Komputer Lembah Dempo,1776,5,0.327,1.200,0.000,0.000,0.365
091063,Universitas Bina Mandiri Gorontalo,1777,5,1.087,0.411,0.000,0.150,0.365
143015,Sekolah Tinggi Ilmu Ekonomi Mah-eisa,1778,5,0.000,1.453,0.006,0.000,0.365
071018,Universitas Kartini,1779,5,0.645,0.933,0.002,0.000,0.363
041050,Universitas Teknologi Nusantara Cilegon,1780,5,0.064,1.396,0.000,0.000,0.362
133014,Sekolah Tinggi Ilmu Psikologi Harapan Bangsa,1781,5,0.281,0.500,0.000,0.600,0.361
013130,STMIK ITMI Medan,1782,5,0.298,1.200,0.000,0.000,0.360
043240,Sekolah Tinggi Teknologi Banten,1783,5,0.623,0.938,0.000,0.000,0.359
113041,Sekolah Tinggi Teknologi Industri Bontang,1784,5,0.295,1.200,0.000,0.000,0.359
093095,Sekolah Tinggi Ilmu Ekonomi Ichsan Pohuwato,1785,5,0.295,1.200,0.000,0.000,0.359
063044,Sekolah Tinggi Teknik Wiworotomo,1786,5,0.523,1.001,0.010,0.000,0.357
093141,Sekolah Tinggi Ilmu Kesehatan Baramuli,1787,5,0.190,1.261,0.015,0.000,0.357
073105,Sekolah Tinggi Teknologi Gempol,1788,5,0.000,1.413,0.000,0.000,0.353
043355,Sekolah Tinggi Farmasi Muhammadiyah Cirebon,1789,5,1.000,0.600,0.010,0.000,0.352
013205,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Amal Bakti,1790,5,1.255,0.400,0.000,0.000,0.351
023063,STMIK Surya Intan,1791,5,0.332,0.936,0.012,0.159,0.351
123040,Sekolah Tinggi Ilmu Ekonomi Manajemen Rutu Nusa,1792,5,1.250,0.400,0.001,0.000,0.350
063069,Sekolah Tinggi Kesehatan Bina Cipta Husada,1793,5,0.000,1.400,0.000,0.000,0.350
011048,Universitas Quality Berastagi,1794,5,1.040,0.318,0.201,0.035,0.348
091022,Universitas Nusantara Manado,1795,5,0.056,1.332,0.000,0.000,0.344
013029,STKIP Budidaya,1796,5,0.134,1.136,0.109,0.020,0.344
031031,Universitas Satyagama,1797,5,0.350,1.086,0.000,0.000,0.342
043182,Sekolah Tinggi Ilmu Teknik Bina Putra,1798,5,0.500,0.905,0.000,0.046,0.340
061051,Universitas Perwira Purbalingga,1799,5,0.966,0.402,0.185,0.000,0.340
093208,Sekolah Tinggi Ilmu Kesehatan Gunung Sari,1800,5,1.187,0.401,0.000,0.000,0.338
103010,Sekolah Tinggi Ilmu Ekonomi Pasaman,1801,5,0.000,1.050,0.059,0.200,0.337
083037,Sekolah Tinggi Ilmu Ekonomi Putra Timor,1802,5,0.270,1.126,0.000,0.000,0.336
073178,STIKES Panti Waluya Malang,1803,5,0.325,0.425,0.173,0.401,0.335
082010,Institut Teknologi dan Bisnis STIKOM Bali,1804,5,0.113,0.758,0.142,0.290,0.335
073079,Sekolah Tinggi Ilmu Ekonomi Widya Darma,1805,5,1.414,0.206,0.000,0.000,0.334
023080,Sekolah Tinggi Ilmu Kesehatan Al Ma arif,1806,5,0.526,0.903,0.010,0.000,0.334
043262,Sekolah Tinggi Teknologi Pratama Adi,1807,5,0.156,1.200,0.000,0.000,0.331
093126,STIKES Gema Insan Akademik,1808,5,0.549,0.885,0.000,0.000,0.331
083088,Sekolah Tinggi Manajemen Informatika Komputer Stella Maris Sumba,1809,5,0.152,1.200,0.000,0.000,0.330
093106,Sekolah Tinggi Ilmu Administrasi Pembangunan Palu,1810,5,0.000,1.321,0.000,0.000,0.330
093182,Sekolah Tinggi Ilmu Kesehatan Husada Mandiri Poso,1811,5,0.000,1.320,0.000,0.000,0.330
043354,STKIP Sera,1812,5,0.149,1.200,0.000,0.000,0.330
063082,STIA Asuh Mitra Solo,1813,5,0.312,1.065,0.000,0.000,0.329
123046,Sekolah Tinggi Ilmu Administrasi Said Perintah,1814,5,0.100,1.200,0.025,0.000,0.326
043340,STKIP PANCAKARYA,1815,5,0.130,1.200,0.000,0.000,0.326
013099,STIE IBMI Medan,1816,5,0.000,1.302,0.000,0.000,0.326
071097,Universitas Qomaruddin,1817,5,1.087,0.403,0.020,0.000,0.323
143007,STIE Ottow & Geissler Fak-fak,1818,5,0.545,0.852,0.000,0.000,0.322
103155,Sekolah Tinggi Ilmu Kesehatan Sumatera Barat,1819,5,1.000,0.400,0.075,0.000,0.319
033151,Sekolah Tinggi Ilmu Komunikasi ITKP,1820,5,0.000,1.261,0.000,0.000,0.315
133021,Sekolah Tinggi Ilmu Kesehatan Harapan Bangsa,1821,5,0.000,1.200,0.000,0.050,0.315
102003,Institut Teknologi Batam,1822,5,1.045,0.400,0.022,0.000,0.315
073181,STIKES Adi Husada,1823,5,0.786,0.400,0.170,0.046,0.314
073007,Sekolah Tinggi Ilmu Ekonomi Artha Bodhi Iswara,1824,5,0.567,0.800,0.000,0.000,0.313
083007,Sekolah Tinggi Manajemen Taman Pendidikan 45,1825,5,0.063,1.200,0.000,0.000,0.313
081033,Universitas San Pedro,1826,5,0.062,1.199,0.000,0.000,0.312
043176,Sekolah Tinggi Ilmu Ekonomi Kalpataru,1827,5,0.295,1.000,0.008,0.001,0.311
031022,Universitas Wiraswasta Indonesia,1828,5,0.078,1.182,0.000,0.000,0.311
073122,STIKES Surya Mitra Husada,1829,5,0.027,1.200,0.014,0.000,0.309
111027,Universitas Widya Dharma Pontianak,1830,5,1.026,0.400,0.010,0.002,0.308
143025,STKIP Kristen Wamena,1831,5,0.000,1.200,0.010,0.020,0.308
133001,Sekolah Tinggi Ilmu Ekonomi Indonesia Banda Aceh,1832,5,0.143,1.110,0.000,0.000,0.306
013171,STKIP Barus Tapanuli Tengah,1833,5,1.030,0.400,0.000,0.000,0.306
011054,Universitas Imelda Medan,1834,5,1.011,0.400,0.006,0.006,0.306
013030,Sekolah Tinggi Ilmu Ekonomi Al-Washliyah,1835,5,0.143,0.994,0.114,0.000,0.306
061055,Universitas Kusuma Husada Surakarta,1836,5,1.027,0.400,0.000,0.000,0.305
033160,Sekolah Tinggi Teknologi Sapta Taruna,1837,5,0.396,0.898,0.000,0.000,0.304
102004,Institut Kesehatan Prima Nusantara Bukittinggi,1838,5,1.015,0.400,0.000,0.000,0.303
023076,Sekolah Tinggi Ilmu Kesehatan Mitra Lampung,1839,5,0.000,1.200,0.010,0.000,0.302
053021,STMIK Amikom,1840,5,0.003,1.200,0.000,0.000,0.301
013098,Sekolah Tinggi Ilmu Bahasa Asing ITMI Medan,1841,5,0.001,1.200,0.000,0.000,0.300
063048,Sekolah Tinggi Teknologi Muhammadiyah Kebumen,1842,5,0.000,1.201,0.000,0.000,0.300
031061,Universitas Nahdlatul Ulama Indonesia,1843,5,0.241,0.897,0.108,0.002,0.300
013178,Sekolah Tinggi Ilmu Hukum Nias Selatan,1844,5,0.000,1.200,0.000,0.000,0.300
023065,STIKESMAS Nusantara,1845,5,0.000,1.200,0.000,0.000,0.300
083102,"Sekolah Tinggi Ilmu Hukum Prof. Dr. Yohanes Usfunan, SH, MH",1846,5,0.000,1.200,0.000,0.000,0.300
013042,Sekolah Tinggi Ilmu Komunikasi Pembangunan,1847,5,0.000,1.200,0.000,0.000,0.300
023075,STMIK Mitra Lampung,1848,5,0.000,1.200,0.000,0.000,0.300
061056,Universitas Maritim AMNI,1849,5,0.000,1.200,0.000,0.000,0.300
063121,"Sekolah Tinggi Teknologi ""Warga"" Surakarta",1850,5,0.000,1.200,0.000,0.000,0.300
093072,Sekolah Tinggi Ilmu Manajemen Yapim Maros,1851,5,0.000,1.200,0.000,0.000,0.300
023131,Sekolah Tinggi Manajemen Informatika dan Komputer Kalirejo Lampung,1852,5,1.000,0.400,0.000,0.000,0.300
063102,STIKES Ibnu Sina Ajibarang,1853,5,1.000,0.400,0.000,0.000,0.300
103143,STMIK Indragiri,1854,5,1.000,0.400,0.000,0.000,0.300
013200,Sekolah Tinggi Ilmu Hukum Asy-Syafi iyah Medan,1855,5,1.000,0.400,0.000,0.000,0.300
023138,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Muhammadiyah OKU Timur,1856,5,1.000,0.400,0.000,0.000,0.300
062004,Institut Teknologi Dan Sains Nahdlatul Ulama Pekalongan,1857,5,1.000,0.400,0.000,0.000,0.300
093169,STIKES Andini Persada,1858,5,1.000,0.400,0.000,0.000,0.300
073183,Sekolah Tinggi Ilmu Kesehatan Nazhatut Thullab Sampang,1859,5,1.000,0.400,0.000,0.000,0.300
013204,Sekolah Tinggi Ilmu Kesehatan Arjuna,1860,5,1.000,0.400,0.000,0.000,0.300
083110,Sekolah Tinggi Ilmu Kesehatan Kesdam IX/Udayana,1861,5,1.000,0.400,0.000,0.000,0.300
023137,Sekolah Tinggi Ilmu Ekonomi dan Bisnis Prana Putra,1862,5,1.000,0.400,0.000,0.000,0.300
091054,Universitas Nahdlatul Ulama Gorontalo,1863,5,1.000,0.400,0.000,0.000,0.300
093206,STIKES Shinta Jaya Mamuju,1864,5,1.000,0.400,0.000,0.000,0.300
103153,STIE YA Bangko,1865,5,1.000,0.398,0.000,0.000,0.299
063101,STMIK Muhammadiyah Paguyangan Brebes,1866,5,1.000,0.397,0.000,0.000,0.299
143010,STIPER Santo Thomas Aquinas Jayapura,1867,5,0.000,1.197,0.000,0.000,0.299
043350,STKIP Babunnajah Pandeglang,1868,5,0.000,1.191,0.000,0.000,0.298
033050,Sekolah Tinggi Ilmu Administrasi Kawula Indonesia,1869,5,0.448,0.824,0.000,0.000,0.296
043018,Sekolah Tinggi Ilmu Ekonomi Tridharma,1870,5,0.200,1.000,0.012,0.004,0.294
143038,Sekolah Tinggi Keguruan dan Ilmu Pendidikan PGRI Papua,1871,5,0.969,0.400,0.000,0.000,0.294
013001,Sekolah Tinggi Hukum YNI,1872,5,0.467,0.800,0.000,0.000,0.293
013184,STIKES Darmais Padangsidimpuan,1873,5,1.000,0.365,0.000,0.000,0.291
103157, Sekolah Tinggi Ilmu Kesehatan Keluarga Bunda Jambi,1874,5,0.000,1.150,0.000,0.000,0.288
063003,Sekolah Tinggi Ilmu Ekonomi Anindyaguna,1875,5,0.000,1.144,0.000,0.000,0.286
093132,STMIK Multicom Bolaan Mongondow,1876,5,0.156,1.015,0.000,0.000,0.285
103150,Sekolah Tinggi Ilmu Hukum YPM,1877,5,0.921,0.400,0.000,0.000,0.284
082005,Institut Keguruan dan Teknologi Larantuka,1878,5,0.000,0.993,0.141,0.000,0.283
091055,Universitas Pohuwato,1879,5,0.803,0.409,0.079,0.000,0.282
081017,Universitas Nusa Tenggara Barat,1880,5,0.000,1.102,0.027,0.000,0.282
133010,Sekolah Tinggi Teknik Bina Cendikia,1881,5,0.911,0.400,0.000,0.000,0.282
083104,STIKES Rana Wijaya,1882,5,0.000,1.125,0.000,0.000,0.281
043203,Sekolah Tinggi Ilmu Kesehatan Bhakti Kencana,1883,5,0.006,1.120,0.000,0.000,0.281
082008,Institut Pendidikan Nusantara Global,1884,5,0.876,0.400,0.023,0.000,0.281
062007,Institut Teknologi dan Bisnis Semarang,1885,5,0.000,1.000,0.098,0.020,0.280
023041,STIPSI Widya Dharma,1886,5,1.000,0.309,0.003,0.000,0.278
073130,STIKES Muhammadiyah Lamongan,1887,5,0.000,1.100,0.010,0.000,0.277
071057,Universitas Teknologi Surabaya,1888,5,0.215,0.815,0.118,0.000,0.276
013022,Sekolah Tinggi Ilmu Ekonomi Nusa Bangsa,1889,5,0.375,0.800,0.000,0.000,0.275
103022,STKIP Muhammadiyah Sungai Penuh,1890,5,0.050,0.867,0.172,0.018,0.275
113093,STKIP Islam Sabilal Muhtadin Banjarmasin,1891,5,0.863,0.400,0.001,0.000,0.273
083096,Sekolah Tinggi Manajemen Informatika Komputer Mataram,1892,5,0.000,0.804,0.102,0.150,0.271
063114,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Wonosobo,1893,5,0.844,0.400,0.000,0.000,0.269
143033,Sekolah Tinggi Ilmu Eknomi Yapis Merauke,1894,5,0.200,0.800,0.000,0.093,0.268
133020,STKIP Muhammadiyah Aceh Tengah,1895,5,0.838,0.400,0.000,0.000,0.268
092001,Institut Sains Dan Teknologi Pembangunan Indonesia,1896,5,0.843,0.393,0.000,0.000,0.267
013041,Sekolah Tinggi Teknologi Immanuel,1897,5,0.333,0.800,0.000,0.000,0.267
093145,Sekolah Tinggi Ilmu Kesehatan Mega Rezky,1898,5,0.000,1.033,0.024,0.000,0.264
033095,Sekolah Tinggi Ilmu Ekonomi Indonesia Raya,1899,5,0.187,0.900,0.000,0.000,0.262
013206,Sekolah Tinggi Ilmu Kesehatan Kesehatan Baru,1900,5,0.802,0.400,0.000,0.000,0.260
041075,Universitas Catur Insan Cendekia,1901,5,0.056,0.994,0.000,0.000,0.260
113096,Sekolah Tinggi Ilmu Kesehatan Sambas,1902,5,0.786,0.400,0.000,0.000,0.257
033119,Sekolah Tinggi Ilmu Ekonomi Jayakusuma,1903,5,0.219,0.849,0.000,0.000,0.256
063016,Sekolah Tinggi Ilmu Ekonomi Trianandra,1904,5,0.000,1.020,0.000,0.000,0.255
023126,STKIP Tunas Palapa,1905,5,0.242,0.800,0.024,0.000,0.254
063095,STKIP Darussalam Cilacap,1906,5,0.004,0.933,0.077,0.000,0.254
041073,Universitas Ma'soem,1907,5,0.176,0.863,0.010,0.000,0.253
103106,Sekolah Tinggi Ilmu Ekonomi El Hakim,1908,5,0.052,0.966,0.000,0.000,0.252
142002,Institut Sains Dan Teknologi Indonesia Manokwari,1909,5,1.000,0.201,0.000,0.000,0.250
023047,Sekolah Tinggi Bahasa Asing Methodist,1910,5,0.000,0.998,0.001,0.000,0.250
093006,STISIP 17-8-1945 Makassar,1911,5,0.175,0.856,0.000,0.000,0.249
063115,Sekolah Tinggi Ilmu Kesehatan Ar-Rum,1912,5,0.000,0.501,0.227,0.209,0.245
013155,STMIK Kristen Neumann Indonesia,1913,5,0.000,0.831,0.111,0.028,0.244
083101,Sekolah Tinggi Ilmu Hukum Cendana Wangi,1914,5,0.719,0.391,0.000,0.000,0.241
043028,Sekolah Tinggi Teknologi Yupentek,1915,5,1.000,0.165,0.000,0.000,0.241
081037,Universitas Aryasatya Deo Muri,1916,5,0.173,0.821,0.000,0.000,0.240
093160,Sekolah Tinggi Ilmu Komputer Rajawali,1917,5,1.000,0.149,0.006,0.000,0.239
021021,Universitas Megou Pak Tulang Bawang,1918,5,0.095,0.872,0.000,0.000,0.237
083084,STKIP Nusa Timor,1919,5,1.000,0.147,0.000,0.000,0.237
143029,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Nuuwar,1920,5,1.000,0.147,0.000,0.000,0.237
103140,STIH Putri Maharaja,1921,5,0.165,0.803,0.010,0.000,0.236
033211,Sekolah Tinggi Ilmu Manajemen Saint Mary,1922,5,0.000,0.942,0.000,0.000,0.236
033061,Sekolah Tinggi Hukum Indonesia Jakarta,1923,5,0.156,0.812,0.000,0.000,0.234
083091,STKIP Harapan Bima,1924,5,0.000,0.802,0.129,0.000,0.233
013192,Sekolah Tinggi Keguruan dan Ilmu Pendidikan Al Maksum,1925,5,0.655,0.400,0.000,0.000,0.231
043195,Sekolah Tinggi Ilmu Ekonomi Paripurna,1926,5,0.147,0.800,0.000,0.000,0.229
043314,STIKES Ichsan Medical Centre Bintaro,1927,5,0.000,0.893,0.008,0.000,0.225
093120,STISIPOL Mujahidin,1928,5,0.000,0.901,0.000,0.000,0.225
081045,Universitas Pendidikan Mandalika,1929,5,0.205,0.000,0.157,0.483,0.225
093112,Sekolah Tinggi Ilmu Kesehatan Avicenna,1930,5,0.000,0.900,0.000,0.000,0.225
023125,STMIK MBC Palembang,1931,5,0.000,0.892,0.000,0.000,0.223
093158,STIKES Nusantara Lasinrang,1932,5,0.016,0.879,0.000,0.000,0.223
063106,Sekolah Tinggi Ilmu Kesehatan Muhammadiyah Kendal,1933,5,0.593,0.400,0.013,0.000,0.222
093130,Sekolah Tinggi Pariwisata Tamalatea Makassar,1934,5,0.000,0.800,0.086,0.000,0.221
081041,Universitas Citra Bangsa,1935,5,0.098,0.800,0.000,0.000,0.220
063109,Sekolah Tinggi Teknik Pati,1936,5,0.595,0.400,0.000,0.000,0.219
091062,Universitas Muslim Buton,1937,5,0.000,0.401,0.086,0.320,0.218
083086,STIKES Panca Atma Jaya,1938,5,0.000,0.870,0.000,0.000,0.217
023099,Sekolah Tinggi Ilmu Kesehatan Fitrah Aldar,1939,5,0.000,0.869,0.000,0.000,0.217
141009,Universitas Nani Bili Nusantara,1940,5,0.035,0.836,0.000,0.000,0.216
103149,Sekolah Tinggi Ilmu Hukum Riau,1941,5,0.571,0.400,0.000,0.000,0.214
063105,STKIP Muhammadiyah Blora,1942,5,0.405,0.400,0.090,0.027,0.211
013072,STMIK Sisingamangaraja XII,1943,5,1.000,0.043,0.000,0.000,0.211
033198,STMIK Islam Internasional,1944,5,0.053,0.800,0.000,0.000,0.211
133002,Sekolah Tinggi Ilmu Manajemen,1945,5,0.000,0.841,0.000,0.000,0.210
103016,STISIP Padang,1946,5,0.000,0.841,0.000,0.000,0.210
091014,Universitas Dumoga Kotamobagu,1947,5,0.000,0.836,0.000,0.000,0.209
072001,Institut Teknologi Pembangunan Surabaya,1948,5,1.000,0.030,0.000,0.000,0.207
063119,Sekolah Tinggi Ilmu Kesehatan Serulingmas,1949,5,0.543,0.389,0.000,0.000,0.206
101028,Universitas Nahdlatul Ulama Sumatera Barat,1950,5,0.279,0.370,0.197,0.024,0.205
043279,Sekolah Tinggi Ilmu Kesehatan Mitra Kencana,1951,5,0.000,0.800,0.014,0.000,0.204
043232,STMIK Mercusuar,1952,5,0.000,0.800,0.014,0.000,0.204
083074,STKIP Nusa Bunga Floresta,1953,5,0.000,0.811,0.000,0.000,0.203
113070,STMIK Sentra Pendidikan Bisnis,1954,5,0.000,0.800,0.010,0.000,0.202
083044,STIMIK Kupang,1955,5,0.000,0.809,0.000,0.000,0.202
023030,STKIP Dharma Wacana,1956,5,0.000,0.800,0.001,0.000,0.200
093068,Sekolah Tinggi Ilmu Ekonomi Pioner Manado,1957,5,0.000,0.800,0.000,0.000,0.200
033046,Sekolah Tinggi Teknologi Indonesia,1958,5,0.000,0.800,0.000,0.000,0.200
043057,Sekolah Tinggi Matematika & Ilmu Pengetahuan Alam,1959,5,0.000,0.800,0.000,0.000,0.200
043156,Sekolah Tinggi Ilmu Ekonomi Dharma Agung Bandung,1960,5,0.000,0.800,0.000,0.000,0.200
043285,Sekolah Tinggi Bahasa Asing Cirebon,1961,5,0.000,0.800,0.000,0.000,0.200
043341,STISIP Trimasda Cilegon,1962,5,0.000,0.800,0.000,0.000,0.200
043369,Sekolah Tinggi Bahasa Asing Jiu,1963,5,0.000,0.800,0.000,0.000,0.200
073046,STKIP PGRI Ngawi,1964,5,0.000,0.800,0.000,0.000,0.200
073087,STIE Muhammadiyah Paciran Lamongan,1965,5,0.000,0.800,0.000,0.000,0.200
083079,STKIP Sinar Pancasila,1966,5,0.000,0.800,0.000,0.000,0.200
093122,STIMIK Bina Bangsa,1967,5,0.000,0.800,0.000,0.000,0.200
093187,Sekolah Tinggi Bisnis dan Manajemen Dua Saudara,1968,5,0.000,0.800,0.000,0.000,0.200
093200,Sekolah Tinggi Ilmu Kesehatan Datu Kamanre,1969,5,0.000,0.800,0.000,0.000,0.200
