kode,nama,ranking,klaster,input,proses,output,outcome,total
083041,STMIK Lombok,1482,5,0.889,1.216,0.056,0.150,0.541
023060,STIE IBEK Pangkalpinang Bangka,1483,5,1.200,1.200,0.000,0.000,0.540
013047,Sekolah Tinggi Ilmu Ekonomi Mars,1484,5,1.200,1.200,0.000,0.000,0.540
043358,Sekolah Tinggi Ilmu Kesehatan Salsabila Serang,1485,5,1.000,1.200,0.022,0.114,0.540
023046,Sekolah Tinggi Ilmu Ekonomi Satu Nusa,1486,5,1.188,1.209,0.000,0.000,0.540
093018,STKIP Veteran Sidrap,1487,5,1.594,0.883,0.000,0.000,0.539
133032,STIKES Medika Seramoe Barat,1488,5,0.449,1.485,0.000,0.259,0.539
113061,Sekolah Tinggi Ilmu Ekonomi Widya Praja,1489,5,0.000,2.154,0.001,0.000,0.539
093002,STKIP Muhammadiyah Bulukumba,1490,5,0.000,1.215,0.397,0.450,0.538
121019,Universitas Hein Namotemo,1491,5,0.985,1.200,0.145,0.016,0.538
032005,Institut Ilmu Sosial Dan Ilmu Politik Jakarta,1492,5,0.436,1.510,0.113,0.150,0.538
013150,STIE Nias Selatan,1493,5,0.127,2.036,0.011,0.000,0.537
043318,STIEB Perdana Mandiri,1494,5,0.074,1.728,0.000,0.300,0.537
073136,STIKES Bhakti Mulia,1495,5,0.011,2.135,0.000,0.000,0.536
131011,Universitas Sains Cut Nyak Dhien,1496,5,1.039,1.300,0.011,0.000,0.536
032022,Institut Teknologi dan Bisnis Bank Rakyat Indonesia,1497,5,0.930,1.273,0.106,0.014,0.535
043123,STKIP Subang,1498,5,1.163,1.199,0.007,0.001,0.534
081036,Universitas Persatuan Guru 1945 NTT,1499,5,0.053,2.030,0.037,0.024,0.534
013168,STIKES Nauli Husada,1500,5,1.000,1.333,0.000,0.000,0.533
093035,Sekolah Tinggi Ilmu Kesejahteraan Sosial Manado,1501,5,1.000,0.594,0.019,0.600,0.533
133008,Sekolah Tinggi Ilmu Manajemen Pase,1502,5,1.161,1.200,0.000,0.000,0.532
041032,Universitas Mathla ul Anwar,1503,5,0.935,1.325,0.043,0.010,0.532
073168,STIKES Karya Putra Bangsa Tulungagung,1504,5,0.524,1.696,0.010,0.000,0.531
043247,Sekolah Tinggi Ilmu Hukum Dharma Andhiga,1505,5,1.255,1.120,0.000,0.000,0.531
043166,STKIP Persatuan Islam,1506,5,1.000,1.323,0.000,0.000,0.531
023023,Sekolah Tinggi Ilmu Ekonomi Serasan Muara Enim,1507,5,1.000,1.280,0.000,0.035,0.531
013197,Sekolah Tinggi Akuntansi dan Manajemen Indonesia,1508,5,0.165,1.702,0.152,0.113,0.530
093091,Sekolah Tinggi Ilmu Manajemen Publik Makassar,1509,5,1.213,1.150,0.000,0.000,0.530
123059,STIKES Pasapua Ambon,1510,5,0.598,1.466,0.174,0.000,0.530
013203,Sekolah Tinggi Ilmu Ekonomi Deli Sumatera,1511,5,1.000,1.200,0.000,0.093,0.528
093054,Sekolah Tinggi Ilmu Ekonomi El Fatah Manado,1512,5,0.200,1.950,0.000,0.000,0.528
041063,Universitas Perjuangan Tasikmalaya,1513,5,0.231,1.497,0.416,0.010,0.527
063104,STIKES Mamba ul Ulum Surakarta,1514,5,0.628,1.454,0.144,0.000,0.525
013061,STMIK Budi Darma,1515,5,0.103,1.730,0.172,0.095,0.524
091041,Universitas Teknologi Sulawesi Utara,1516,5,0.351,1.816,0.000,0.000,0.524
113026,Sekolah Tinggi Ilmu Ekonomi Kuala Kapuas,1517,5,1.200,1.133,0.000,0.000,0.523
043252,STISIP Setia Budhi,1518,5,1.175,1.149,0.000,0.000,0.522
093102,Sekolah Tinggi Ilmu Ekonomi Widya Darma Kotamobagu,1519,5,1.060,1.061,0.000,0.150,0.522
083077,STKIP Soe,1520,5,1.000,1.200,0.087,0.000,0.522
123055,Sekolah Tinggi Pertanian Kewirausahaan Banau,1521,5,0.886,1.377,0.001,0.000,0.522
043122,STMIK Subang,1522,5,1.093,1.200,0.008,0.000,0.521
033125,Sekolah Tinggi Ilmu Ekonomi Maiji,1523,5,0.365,1.600,0.010,0.150,0.520
053014,Sekolah Tinggi Ilmu Ekonomi Bisnis Dan Perbankan,1524,5,0.612,1.592,0.000,0.000,0.520
041016,Universitas Bandung Raya,1525,5,0.402,1.433,0.318,0.005,0.519
091050,Universitas Nahdlatul Ulama Sulawesi Tenggara,1526,5,1.000,1.204,0.073,0.000,0.519
042010,Institut Bisnis Muhammadiyah Bekasi,1527,5,1.140,1.162,0.000,0.000,0.519
113032,Sekolah Tinggi Ilmu Ekonomi Nasional Samarinda,1528,5,1.248,1.075,0.000,0.000,0.518
103050,Sekolah Tinggi Ilmu Ekonomi Bentara Persada Batam,1529,5,0.440,1.721,0.000,0.000,0.518
113088,Sekolah Tinggi Bahasa Asing Pontianak,1530,5,1.000,1.200,0.073,0.000,0.518
043242,STMIK PGRI Tangerang,1531,5,0.253,1.870,0.000,0.000,0.518
033140,STMIK Widuri,1532,5,0.646,1.155,0.339,0.049,0.517
073022,Sekolah Tinggi Ilmu Ekonomi Kertanegara,1533,5,1.070,1.200,0.010,0.000,0.516
